EDINET CODE,証券コード,会社名,33業種区分,17業種区分,規模区分
E01631,64800,日本トムソン株式会社,機械,機械 ,6
E04768,85840,株式会社ジャックス,その他金融業,金融（除く銀行） ,6
E25551,28820,イートアンド株式会社,食料品,食品 ,7
E00645,38650,北越紀州製紙株式会社,パルプ・紙,素材・化学 ,6
E01092,51950,バンドー化学株式会社,ゴム製品,自動車・輸送機 ,7
E00815,41820,三菱瓦斯化学株式会社,化学,素材・化学 ,4
E00871,42420,株式会社タカギセイコー,化学,素材・化学 ,
E02986,33740,内外テック株式会社,卸売業,商社・卸売 ,
E30863,,JA三井リース株式会社,,,
E02152,72700,富士重工業株式会社,輸送用機器,自動車・輸送機 ,2
E01536,63310,三菱化工機株式会社,機械,機械 ,7
E00453,28940,石井食品株式会社,食料品,食品 ,
E03293,75540,株式会社幸楽苑ホールディングス,小売業,小売 ,7
E25165,31670,株式会社ＴＯＫＡＩホールディングス,卸売業,商社・卸売 ,6
E04199,90780,株式会社エスライン,陸運業,運輸・物流 ,
E05306,27490,株式会社ＪＰホールディングス,サービス業,情報通信・サービスその他 ,7
E01738,65020,株式会社　東芝,電気機器,電機・精密 ,
E05175,48330,株式会社ぱど,サービス業,情報通信・サービスその他 ,
E01951,66520,ＩＤＥＣ株式会社,電気機器,電機・精密 ,7
E00518,29280,ＲＩＺＡＰグループ株式会社,,,
E02542,30040,神栄株式会社,卸売業,商社・卸売 ,7
E03301,75770,株式会社パスポート,小売業,小売 ,
E00312,17260,株式会社ビーアールホールディングス,建設業,建設・資材 ,7
E32803,71920,日本モーゲージサービス株式会社,その他金融業,金融（除く銀行） ,
E01597,64610,日本ピストンリング株式会社,機械,機械 ,7
E33052,,桃太郎源株式会社,,,
E01112,51610,西川ゴム工業株式会社,ゴム製品,自動車・輸送機 ,
E00130,18530,株式会社森組,建設業,建設・資材 ,
E00895,46150,神東塗料株式会社,化学,素材・化学 ,7
E02602,80660,三谷商事株式会社,卸売業,商社・卸売 ,
E02590,,KISCO株式会社,,,
E23245,31560,株式会社ＵＫＣホールディングス,卸売業,商社・卸売 ,6
E00771,40460,株式会社大阪ソーダ,化学,素材・化学 ,7
E00691,37080,特種東海製紙株式会社,パルプ・紙,素材・化学 ,7
E00182,19920,神田通信機株式会社,建設業,建設・資材 ,
E01097,51910,住友理工株式会社,ゴム製品,自動車・輸送機 ,6
E00721,94750,株式会社昭文社,情報・通信業,情報通信・サービスその他 ,7
E00711,79460,株式会社光陽社,その他製品,情報通信・サービスその他 ,
E03398,27530,株式会社あみやき亭,小売業,小売 ,7
E31672,,株式会社ユリアインターナショナル,,,
E03542,83420,株式会社青森銀行,銀行業,銀行 ,7
E02738,98160,株式会社ストライダーズ,不動産業,不動産 ,
E01422,59400,不二サッシ株式会社,金属製品,建設・資材 ,
E24562,66280,オンキヨー株式会社,電気機器,電機・精密 ,
E01264,54110,ジェイ　エフ　イー　ホールディングス株式会社,鉄鋼,鉄鋼・非鉄 ,2
E03493,78230,株式会社アートネイチャー,その他製品,情報通信・サービスその他 ,7
E02028,66550,東洋電機株式会社,,,
E04519,95370,北陸瓦斯株式会社,電気・ガス業,電力・ガス ,
E01003,41850,ＪＳＲ株式会社,化学,素材・化学 ,4
E26813,71620,アストマックス株式会社,証券、商品先物取引業,金融（除く銀行） ,
E00824,42060,アイカ工業株式会社,化学,素材・化学 ,4
E01862,68790,株式会社イマジカ・ロボットホールディングス,情報・通信業,情報通信・サービスその他 ,7
E30140,60890,株式会社ウィルグループ,サービス業,情報通信・サービスその他 ,7
E01152,52080,株式会社有沢製作所,化学,素材・化学 ,6
E00981,45650,そーせいグループ株式会社,医薬品,医薬品 ,
E01701,63000,アピックヤマダ株式会社,機械,機械 ,
E27759,32910,飯田グループホールディングス株式会社,不動産業,不動産 ,4
E01486,61130,株式会社 アマダホールディングス,機械,機械 ,4
E03213,99690,株式会社ショクブン,小売業,小売 ,
E03321,76160,株式会社コロワイド,小売業,小売 ,6
E32109,71850,ヒロセ通商株式会社,証券、商品先物取引業,金融（除く銀行） ,
E02377,79910,マミヤ・オーピー株式会社,機械,機械 ,
